owner_acronym,source_year,total_entries,original_contract_entries,amendment_entries,most_recent_entries,original_entries_sum,most_recent_entries_sum
dnd,2008,13293,12564,729,11726,8586998663.82,3144407341.77
dnd,2009,15419,13450,1969,13452,5612895399.29,2602368341.47
dnd,2010,17616,15498,2118,15410,4217148182.06,7499916343.56
dnd,2011,24044,22023,2021,22316,8245174312.51,8219077121.76
dnd,2012,15658,14027,1631,14200,4982537724.45,3296724780.20
dnd,2013,16081,14986,1095,15127,4592143668.28,5366314175.65
dnd,2014,18369,17383,986,17560,6784439969.19,6498950943.17
dnd,2015,18289,17267,1022,17381,5866655562.58,5594539002.18
dnd,2016,11388,10395,993,10701,3871866915.38,4427548427.35
dnd,2017,14551,13230,1321,13224,3635664577.34,6349867673.33
dnd,2018,14693,13169,1524,13509,3177666764.03,12588309253.11
ec,2004,3049,3046,3,3046,104300508.91,104300631.02
ec,2005,2735,2731,4,2711,113019916.40,110376990.45
ec,2006,2652,2650,2,2599,112403617.03,106675657.16
ec,2007,2970,2967,3,2909,109780611.30,104528093.48
ec,2008,3707,3705,2,3546,132377115.95,118672208.86
ec,2009,4249,3897,352,3707,158106355.39,145287303.89
ec,2010,4200,3559,641,3626,139105531.03,160151922.65
ec,2011,3960,3460,500,3469,128261376.37,157327720.64
ec,2012,3868,3335,533,3345,132362432.79,156354353.65
ec,2013,4133,3506,627,3558,123936507.43,164666047.96
ec,2014,3706,3111,595,3387,125496867.71,201660542.96
ec,2015,2710,2592,118,2490,139101720.00,120335529.02
ec,2016,2607,2480,127,2485,194761100.85,217518657.12
ec,2017,1924,1795,129,1847,94639237.43,107558694.67
ec,2018,507,470,37,504,24381378.24,37580331.39
elections,2016,152,150,2,117,35739396.62,13927776.99
elections,2017,321,255,66,266,203270159.71,267501977.52
elections,2018,297,251,46,273,42975315.84,48839751.18
esdc,2003,1,1,0,1,596248.26,596248.26
esdc,2004,1820,1819,1,1819,106159839.93,106159839.93
esdc,2005,2064,2062,2,2061,295448176.74,295497170.39
esdc,2006,1666,1664,2,1665,397186500.99,397240705.04
esdc,2007,1721,1721,0,1721,193330826.96,193330826.96
esdc,2008,1348,1348,0,1348,145758003.34,145758003.34
esdc,2009,2201,2201,0,2201,585126049.13,585126049.13
esdc,2010,1894,1894,0,1894,910461758.65,910461758.65
esdc,2011,1752,1752,0,1752,864970928.00,864970928.00
esdc,2012,1244,1244,0,1243,366028709.23,365510717.23
esdc,2013,1136,1136,0,1134,332113899.48,265353499.48
esdc,2014,1131,1131,0,1121,753954382.78,748522102.23
esdc,2015,1120,1120,0,1058,236959275.26,206992315.87
esdc,2016,1331,1169,162,1035,2402335829.00,1676545377.36
esdc,2017,1482,927,555,881,124286501.74,265843823.56
esdc,2018,1061,581,480,836,73063701.81,1067531092.70
fcac,2004,32,31,1,31,998137.67,1027437.67
fcac,2005,30,30,0,30,714635.05,714635.05
fcac,2006,34,34,0,34,1298585.86,1298585.86
fcac,2007,48,48,0,48,1437487.86,1437487.86
fcac,2008,43,42,1,40,1241911.05,1176006.05
fcac,2009,74,62,12,63,2570112.84,2787996.92
fcac,2010,88,77,11,75,3187778.85,3353884.14
fcac,2011,83,72,11,72,2091687.03,2279252.70
fcac,2012,71,62,9,63,6671954.55,4598570.93
fcac,2013,43,39,4,40,833721.68,901747.18
fcac,2014,66,66,0,62,2716739.83,2542247.13
fcac,2015,59,52,7,52,2499917.54,2485648.36
fcac,2016,55,51,4,49,1627642.83,1643422.15
fcac,2017,90,82,8,84,4545307.90,4509523.08
fcac,2018,64,56,8,61,3591759.56,6930604.30
feddev,2009,74,60,14,57,2943293.08,2884809.73
feddev,2010,261,135,126,127,4443069.02,4592955.33
feddev,2011,162,77,85,81,2556864.43,2739527.57
feddev,2012,135,77,58,79,2554465.41,2410908.26
feddev,2013,72,42,30,44,1720649.55,1871755.46
feddev,2014,94,51,43,47,3734259.54,2688346.97
feddev,2015,68,39,29,40,1121293.26,1135131.70
feddev,2016,51,32,19,34,942571.63,1041083.23
feddev,2017,34,28,6,28,789014.46,5067425.33
feddev,2018,16,13,3,14,359590.15,434567.52
fin,2004,245,245,0,245,11970829.82,11970829.82
fin,2005,364,364,0,362,22028846.82,21961237.42
fin,2006,365,365,0,364,17910615.77,17412296.24
fin,2007,382,380,2,380,17705384.62,17569207.19
fin,2008,267,267,0,255,29565849.12,29217456.77
fin,2009,263,224,39,212,23889101.64,24949102.12
fin,2010,203,167,36,156,16409786.50,18758962.85
fin,2011,219,179,40,173,23049484.70,22089027.90
fin,2012,166,111,55,128,18870063.17,32953473.35
fin,2013,143,102,41,104,16616062.16,18761825.49
fin,2014,165,126,39,128,17207285.77,13118469.70
fin,2015,120,82,38,90,5920264.05,21542099.22
fin,2016,175,128,47,120,7968186.88,11525169.83
fin,2017,161,110,51,121,6816379.75,10923317.13
fin,2018,94,77,17,87,4486476.22,9816547.22
fintrac,2004,40,40,0,40,1714688.63,1714688.63
fintrac,2005,61,61,0,61,1559164.00,1559164.00
fintrac,2006,81,81,0,81,2249896.32,2249896.32
fintrac,2007,127,127,0,127,3455732.15,3455732.15
fintrac,2008,63,63,0,63,3637817.24,3637817.24
fintrac,2009,65,65,0,65,2218373.32,2218373.32
fintrac,2010,75,75,0,75,2245112.45,2245112.45
fintrac,2011,90,90,0,90,3650567.46,3650567.46
fintrac,2012,70,70,0,70,3104813.60,3104813.60
fintrac,2013,24,24,0,24,1061742.40,1061742.40
fintrac,2014,18,18,0,18,1443717.05,1443717.05
fintrac,2015,17,17,0,17,753913.47,753913.47
fintrac,2016,31,30,1,30,1208157.98,1227218.62
fintrac,2017,36,35,1,35,1808573.95,1822909.86
fintrac,2018,25,24,1,24,1593818.30,1605824.55
fja,2007,21,21,0,21,467679.21,467679.21
fja,2008,47,47,0,46,1013942.96,928942.96
fja,2009,68,62,6,61,2133867.30,2188376.70
fja,2010,81,77,4,72,2086344.55,1883256.57
fja,2011,130,115,15,110,3515053.71,3594357.33
fja,2012,110,94,16,92,2506971.46,2700278.02
fja,2013,113,94,19,101,2775341.01,3466471.01
fja,2014,98,83,15,84,2690583.90,2722541.45
fja,2015,91,84,7,85,2988389.85,2873163.75
fja,2016,81,77,4,76,2049116.64,1880050.83
fja,2017,101,85,16,90,3344894.89,4870102.78
fja,2018,57,54,3,55,2010587.97,2053146.93
fpcc,2016,1,1,0,1,60000.00,60000.00
fpcc,2017,2,2,0,2,67928.38,67928.38
fpcc,2018,5,5,0,5,78945.00,78945.00
gac,2004,1858,1790,68,1780,102276609.55,101908565.75
gac,2005,2096,2040,56,2038,156654830.90,154340434.81
gac,2006,3448,3355,93,3343,206134487.88,202858691.06
gac,2007,3151,3061,90,3053,154371535.70,153017030.56
gac,2008,2431,2353,78,2331,158083260.75,129246529.30
gac,2009,2631,2426,205,2378,160672782.10,142175370.57
gac,2010,3358,3072,286,3036,228057343.42,210448475.70
gac,2011,3033,2766,267,2726,181210493.16,201288157.21
gac,2012,2739,2403,336,2322,240530787.38,247471299.67
gac,2013,3006,2557,449,2538,332352076.17,334789402.15
gac,2014,3239,2784,455,2734,226220861.75,236333561.51
gac,2015,3227,2682,545,2716,250523486.19,277752484.67
gac,2016,3072,2638,434,2657,198772587.50,245515636.09
gac,2017,4146,3601,545,3633,397993204.89,475125191.21
gac,2018,2934,2462,472,2700,206869687.90,368008461.82
hc,2010,1681,1527,154,1428,69179404.26,61648792.65
hc,2011,3236,2740,496,2656,163696532.80,145250200.79
hc,2012,2947,2127,820,2130,180766461.24,169586893.64
hc,2013,2691,1953,738,1918,154940275.79,170859401.37
hc,2014,2547,1958,589,1903,468418999.18,321456167.74
hc,2015,2183,1662,521,1686,155290265.76,181019299.52
hc,2016,2148,1680,468,1725,169557994.43,221700946.95
hc,2017,1795,1446,349,1540,131863986.16,429761081.12
hc,2018,1139,964,175,1056,75214335.89,123191863.67
ic,2004,2313,2313,0,2313,83062189.00,83062189.00
ic,2005,2331,2331,0,2328,84735240.00,84111382.00
