owner_acronym,source_fiscal,total_entries,total_contracts,total_amendments
cgc,201819-Q1,34,32,2
cgc,201819-Q2,23,22,1
cgc,201819-Q3,31,30,1
chrc,201516-Q4,24,24,0
chrc,201718-Q4,29,29,0
chrc,201819-Q1,7,6,1
chrc,201819-Q2,12,11,1
chrc,201819-Q3,10,9,1
cics,201718-Q4,6,6,0
cics,201819-Q1,10,10,0
cics,201819-Q3,7,7,0
cihr,201516-Q4,65,64,1
cihr,201617-Q1,17,17,0
cihr,201617-Q3,61,57,4
cihr,201617-Q4,89,78,11
cihr,201718-Q1,29,19,10
cihr,201718-Q2,36,32,4
cihr,201718-Q3,32,24,8
cihr,201718-Q4,49,38,11
cihr,201819-Q1,35,27,8
cihr,201819-Q2,23,17,6
cihr,201819-Q3,34,30,4
cnsc,200405-Q1,74,74,0
cnsc,200405-Q2,57,57,0
cnsc,200405-Q3,55,55,0
cnsc,200405-Q4,105,105,0
cnsc,200506-Q1,60,60,0
cnsc,200506-Q2,39,39,0
cnsc,200506-Q3,43,43,0
cnsc,200506-Q4,175,175,0
cnsc,200607-Q1,66,66,0
cnsc,200607-Q2,69,69,0
cnsc,200607-Q3,52,52,0
cnsc,200607-Q4,140,140,0
cnsc,200708-Q1,92,92,0
cnsc,200708-Q2,41,41,0
cnsc,200708-Q3,61,61,0
cnsc,200708-Q4,168,167,1
cnsc,200809-Q1,83,82,1
cnsc,200809-Q2,75,75,0
cnsc,200809-Q3,66,66,0
cnsc,200809-Q4,163,163,0
cnsc,200910-Q1,81,81,0
cnsc,200910-Q2,79,79,0
cnsc,200910-Q3,73,73,0
cnsc,200910-Q4,232,232,0
cnsc,201011-Q1,81,80,1
cnsc,201011-Q2,86,72,14
cnsc,201011-Q3,124,116,8
cnsc,201011-Q4,196,172,24
cnsc,201112-Q1,102,81,21
cnsc,201112-Q2,77,76,1
cnsc,201112-Q3,108,87,21
cnsc,201213-Q1,64,63,1
cnsc,201213-Q2,62,52,10
cnsc,201213-Q3,73,69,4
cnsc,201213-Q4,131,114,17
cnsc,201314-Q1,78,67,11
cnsc,201314-Q2,62,53,9
cnsc,201314-Q3,62,53,9
cnsc,201314-Q4,103,77,26
cnsc,201415-Q1,58,38,20
cnsc,201415-Q2,69,60,9
cnsc,201415-Q3,68,55,13
cnsc,201415-Q4,82,71,11
cnsc,201516-Q1,48,39,9
cnsc,201516-Q2,56,45,11
cnsc,201516-Q3,50,34,16
cnsc,201516-Q4,53,40,13
cnsc,201617-Q1,57,45,12
cnsc,201617-Q2,42,33,9
cnsc,201617-Q3,50,39,11
cnsc,201617-Q4,88,62,26
cnsc,201718-Q1,60,41,19
cnsc,201718-Q2,55,36,19
cnsc,201718-Q3,45,29,16
cnsc,201718-Q4,87,56,31
cnsc,201819-Q1,55,41,14
cnsc,201819-Q2,47,37,10
cnsc,201819-Q3,41,26,15
cpc,201617-Q4,15,15,0
cpc,201718-Q1,16,16,0
cpc,201718-Q2,7,6,1
cpc,201718-Q4,27,24,3
cpc,201819-Q1,8,7,1
cpc,201819-Q2,10,9,1
cpc,201819-Q3,12,9,3
cra,200102-Q4,6,6,0
cra,200203-Q1,1,1,0
cra,200203-Q2,3,2,1
cra,200203-Q3,3,2,1
cra,200203-Q4,2,2,0
cra,200304-Q1,6,4,2
cra,200304-Q2,6,4,2
cra,200304-Q3,4,3,1
cra,200304-Q4,7,6,1
cra,200405-Q1,544,543,1
cra,200405-Q2,355,355,0
cra,200405-Q3,646,626,20
cra,200405-Q4,1206,1189,17
cra,200506-Q1,462,451,11
cra,200506-Q2,492,468,24
cra,200506-Q3,633,600,33
cra,200506-Q4,1055,1006,49
cra,200607-Q1,483,439,44
cra,200607-Q2,594,561,33
cra,200607-Q3,624,571,53
cra,200607-Q4,1189,1084,105
cra,200708-Q1,724,542,182
cra,200708-Q2,501,436,65
cra,200708-Q3,699,581,118
cra,200708-Q4,1112,973,139
cra,200809-Q1,522,407,115
cra,200809-Q2,485,355,130
cra,200809-Q3,588,451,137
cra,200809-Q4,1053,908,145
cra,200910-Q1,463,328,135
cra,200910-Q2,423,358,65
cra,200910-Q3,592,509,83
cra,200910-Q4,856,539,317
cra,201011-Q1,301,258,43
cra,201011-Q2,474,287,187
cra,201011-Q3,629,439,190
cra,201011-Q4,1339,859,480
cra,201112-Q1,475,325,150
cra,201112-Q2,503,316,187
cra,201112-Q3,667,468,199
cra,201112-Q4,1202,692,510
cra,201213-Q1,241,171,70
cra,201213-Q2,314,190,124
cra,201213-Q3,479,330,149
cra,201213-Q4,540,435,105
cra,201314-Q1,226,178,48
cra,201314-Q2,207,157,50
cra,201314-Q3,360,253,107
cra,201314-Q4,415,335,80
cra,201415-Q1,201,159,42
cra,201415-Q2,228,171,57
cra,201415-Q3,261,213,48
cra,201415-Q4,333,312,21
cra,201516-Q1,179,159,20
cra,201516-Q2,151,140,11
cra,201516-Q3,202,202,0
cra,201617-Q1,248,204,44
cra,201617-Q2,251,182,69
cra,201617-Q3,240,175,65
cra,201617-Q4,716,375,341
cra,201617-Q5,1,0,1
cra,201718-Q1,330,202,128
cra,201718-Q2,301,153,148
cra,201718-Q3,248,122,126
cra,201718-Q4,549,207,342
cra,201819-Q1,1,1,0
cra,201819-Q2,273,144,129
cra,201819-Q3,437,201,236
crtc,201617-Q3,26,26,0
crtc,201718-Q1,63,63,0
crtc,201718-Q2,6,4,2
crtc,201718-Q3,34,34,0
crtc,201718-Q4,38,38,0
crtc,201819-Q1,40,37,3
crtc,201819-Q2,18,17,1
crtc,201819-Q3,14,13,1
csa,200809-Q1,121,121,0
csa,200809-Q2,98,98,0
csa,200809-Q3,152,152,0
csa,200809-Q4,200,200,0
csa,200910-Q1,117,117,0
csa,200910-Q2,130,130,0
csa,200910-Q3,166,166,0
csa,200910-Q4,143,143,0
csa,201011-Q1,106,106,0
csa,201011-Q2,113,113,0
csa,201011-Q3,133,133,0
csa,201011-Q4,129,129,0
csa,201112-Q1,99,99,0
csa,201112-Q2,91,91,0
csa,201112-Q3,124,124,0
csa,201112-Q4,100,100,0
csa,201213-Q1,65,65,0
csa,201213-Q2,75,75,0
csa,201213-Q3,75,75,0
csa,201213-Q4,117,117,0
csa,201314-Q1,74,74,0
csa,201314-Q2,87,87,0
csa,201314-Q3,73,73,0
csa,201314-Q4,78,78,0
csa,201415-Q1,66,66,0
csa,201415-Q2,89,89,0
csa,201415-Q3,77,77,0
csa,201415-Q4,123,123,0
csa,201516-Q1,88,88,0
csa,201516-Q2,58,58,0
csa,201516-Q3,78,78,0
csa,201516-Q4,99,99,0
csa,201617-Q1,96,96,0
csa,201617-Q2,64,64,0
csa,201617-Q3,97,97,0
csa,201617-Q4,153,101,52
csa,201718-Q1,124,101,23
csa,201718-Q2,88,55,33
csa,201718-Q3,131,91,40
csa,201718-Q4,136,77,59
csa,201819-Q1,96,65,31
csa,201819-Q2,89,59,30
csc,200607-Q4,2,1,1
csc,200708-Q4,1,1,0
csc,200809-Q2,5,2,3
csc,200809-Q3,4,4,0
csc,200809-Q4,7,5,2
csc,200910-Q1,18,9,9
csc,200910-Q2,9,5,4
csc,200910-Q3,25,19,6
csc,200910-Q4,33,23,10
csc,201011-Q1,39,20,19
csc,201011-Q2,21,17,4
csc,201011-Q3,25,15,10
csc,201011-Q4,54,42,12
csc,201112-Q1,49,33,16
csc,201112-Q2,39,24,15
csc,201112-Q3,45,26,19
csc,201112-Q4,129,85,44
csc,201213-Q1,60,39,21
csc,201213-Q2,62,35,27
csc,201213-Q3,60,31,29
csc,201213-Q4,207,135,72
csc,201314-Q1,145,106,39
csc,201314-Q2,126,82,44
csc,201314-Q3,142,110,32
csc,201314-Q4,1014,954,60
csc,201415-Q1,1142,901,241
csc,201415-Q2,673,624,49
csc,201415-Q3,301,285,16
csc,201415-Q4,1084,1024,60
csc,201516-Q1,954,837,117
csc,201516-Q2,783,735,48
csc,201516-Q3,776,755,21
csc,201516-Q4,934,927,7
csc,201617-Q1,639,611,28
csc,201617-Q2,1234,1150,84
csc,201617-Q3,989,847,142
csc,201617-Q4,1204,991,213
csc,201718-Q1,1273,994,279
csc,201718-Q2,937,756,181
csc,201718-Q3,1056,868,188
csc,201718-Q4,1272,1064,208
csc,201819-Q1,1463,1023,440
csc,201819-Q2,985,781,204
csc,201819-Q3,1059,863,196
csps,201213-Q3,49,48,1
csps,201213-Q4,55,55,0
csps,201314-Q1,30,30,0
csps,201314-Q2,52,51,1
csps,201314-Q3,36,35,1
csps,201314-Q4,44,41,3
csps,201415-Q1,33,32,1
csps,201415-Q2,39,38,1
csps,201415-Q3,25,24,1
csps,201415-Q4,62,59,3
csps,201516-Q1,23,22,1
csps,201516-Q2,25,23,2
csps,201516-Q3,30,30,0
csps,201516-Q4,38,35,3
