owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
dfo,2011,5031,3205,1826,46257934.85,316718455.15
dfo,2012,4814,3105,1709,44280015.26,270146920.65
dfo,2013,4427,2835,1592,39800612.21,256494512.96
dfo,2014,4633,2952,1681,40681384.06,599132589.99
dfo,2015,3516,2124,1392,29044079.42,853422056.17
dfo,2016,6231,3523,2708,50986756.58,646779666.06
dfo,2017,5828,2956,2872,47102374.96,696960157.62
dfo,2018,3893,2029,1864,32136107.83,598379453.56
dnd,1999,2,1,1,13018.00,47639.00
dnd,2002,4,1,3,17250.00,6483563.93
dnd,2003,186,101,85,1613596.90,37219989.00
dnd,2004,8816,4156,4660,68671163.20,7728163618.76
dnd,2005,7087,2831,4256,46688036.03,4772302885.26
dnd,2006,4280,1564,2716,26103189.50,1044016447.29
dnd,2007,8580,3971,4609,65710603.03,4555948405.32
dnd,2008,12564,5515,7049,91152184.69,8495846479.13
dnd,2009,13450,5962,7488,98122054.23,5514773345.06
dnd,2010,15498,7227,8271,118737492.80,4098410689.26
dnd,2011,22023,9734,12289,159648825.79,8085525486.72
dnd,2012,14027,6140,7887,100626037.55,4881911686.90
dnd,2013,14986,6845,8141,111931692.99,4480211975.29
dnd,2014,17383,7988,9395,131117991.17,6653321978.02
dnd,2015,17267,7905,9362,129814859.71,5736840702.87
dnd,2016,10395,4922,5473,79500945.82,3792365969.56
dnd,2017,13230,6750,6480,109923107.80,3525741469.54
dnd,2018,13169,6331,6838,102792636.93,3074874127.10
ec,2004,3046,2139,907,35078234.59,69222274.32
ec,2005,2731,1744,987,28270086.79,84749829.61
ec,2006,2650,1695,955,26853905.68,85549711.35
ec,2007,2967,2088,879,34380648.69,75399962.61
ec,2008,3705,2583,1122,43296917.29,89080198.66
ec,2009,3897,2719,1178,46041978.67,112064376.72
ec,2010,3559,2480,1079,39602601.57,99502929.46
ec,2011,3460,2498,962,39743337.86,88518038.51
ec,2012,3335,2411,924,38578956.27,93783476.52
ec,2013,3506,2573,933,41044745.91,82891761.52
ec,2014,3111,2254,857,35835795.66,89661072.05
ec,2015,2592,1672,920,29196502.33,109905217.67
ec,2016,2480,1744,736,30613293.20,164147807.65
ec,2017,1795,1242,553,22604214.53,72035022.90
ec,2018,470,340,130,6363868.94,18017509.30
elections,2016,150,69,81,1313224.41,34426172.21
elections,2017,255,122,133,2382890.12,200887269.59
elections,2018,251,92,159,1765172.60,41210143.24
esdc,2003,1,0,1,0.00,596248.26
esdc,2004,1819,1100,719,18947885.79,87211954.14
esdc,2005,2062,1068,994,18462538.41,276985638.33
esdc,2006,1664,847,817,15037405.59,382149095.40
esdc,2007,1721,936,785,15896255.39,177434571.57
esdc,2008,1348,763,585,13209687.79,132548315.55
esdc,2009,2201,1015,1186,17564108.05,567561941.08
esdc,2010,1894,924,970,16181130.90,894280627.75
esdc,2011,1752,877,875,15699642.48,849271285.52
esdc,2012,1244,634,610,11379330.74,354649378.49
esdc,2013,1136,509,627,9437606.25,322676293.23
